modelo,roc_auc,pr_auc,precision,recall,f1,accuracy,verdaderos_positivos,falsos_positivos,falsos_negativos,verdaderos_negativos,cv_recall
V1_sin_restricciones,0.6607372986506336,0.20766632268599666,0.23499806426635694,0.2750339827820571,0.2534446764091858,0.8195852883305585,607,1976,1600,15638,0.2819
V2_profundidad_acotada,0.6673175027752413,0.21230085109464178,0.12826771147793692,0.904848210240145,0.22468496849684969,0.3046768578780082,1997,13572,210,4042,0.9039
V3_hojas_minimas,0.6634434579035121,0.2048630678852974,0.12503053994624969,0.9275033982782057,0.22035631627105873,0.26920942434791384,2047,14325,160,3289,0.9288
V4_criterio_entropia,0.6635530681637938,0.20598655482292977,0.12486967187979148,0.9225192569098324,0.21996542783059636,0.27147974370617023,2036,14269,171,3345,0.9274
