C,peso_positivo,roc_auc,pr_auc,precision,recall,f2
0.5,2,0.664619710906033,0.22087674600832086,0.3816568047337278,0.06961683756071235,0.0832258064516129
0.5,3,0.6650182051782513,0.22090919595952968,0.31651954602774274,0.13545601726929304,0.15295551492992077
0.5,4,0.6652243720901042,0.22092618720540416,0.27078891257995735,0.20561252023745277,0.21601088558793513
0.5,5,0.6653771083101419,0.22087797923785968,0.25147258722247395,0.29951430113329736,0.28849152718577814
