C,roc_auc_validacion,pr_auc_validacion,precision_validacion,recall_validacion,f1_validacion
0.1,0.6658926026903395,0.22028463532152243,0.18766209707299,0.5466810577441986,0.27940973658805685
0.5,0.6658078691689757,0.2208117975374402,0.18694362017804153,0.5439827307069617,0.2782608695652174
1.0,0.6655335453573181,0.22078203179374062,0.18751158050768946,0.5461413923367512,0.2791724137931034
2.0,0.665205945054976,0.22065931049915585,0.1874074074074074,0.5461413923367512,0.2790569419550531
10.0,0.6648289232902188,0.2205281009285115,0.1876040703052729,0.5472207231516459,0.2794158170294847
