porcentaje_priorizado,pacientes_priorizados,reingresos_capturados,cobertura_reingresos,precision_en_priorizados,lift_vs_tasa_base
10.0,1982,504,0.22836429542365203,0.2542885973763875,2.28375817335631
20.0,3964,823,0.3729043951064794,0.20761856710393542,1.8646160482859555
30.0,5946,1086,0.49207068418667876,0.18264379414732593,1.6403183705456037
40.0,7928,1317,0.5967376529225192,0.16612008072653886,1.4919194019396134
50.0,9910,1540,0.6977797915722701,0.15539858728557013,1.3956299948288562
