C,peso_positivo,umbral,roc_auc,pr_auc,precision,recall,f2,accuracy,verdaderos_negativos,falsos_positivos,falsos_negativos,verdaderos_positivos
0.5,5,0.2,0.6653771083101419,0.22087797923785968,0.12110043438199289,0.992984349703184,0.40697160046005487,0.1567625536209942,645,13354,13,1840
0.5,5,0.25,0.6653771083101419,0.22087797923785968,0.13143672121303107,0.944954128440367,0.4222533037522909,0.26362604087812264,2428,11571,102,1751
0.5,5,0.3,0.6653771083101419,0.22087797923785968,0.14657348087749952,0.8148947652455477,0.426216551879869,0.42373202119606357,5207,8792,343,1510
0.5,5,0.35,0.6653771083101419,0.22087797923785968,0.16761517615176152,0.6675661090124123,0.41813142239048134,0.5736184708554126,7856,6143,616,1237
0.5,5,0.4,0.6653771083101419,0.22087797923785968,0.19280461140926258,0.5234754452239612,0.38977738487503016,0.688115064345193,9938,4061,883,970
0.5,5,0.45,0.6653771083101419,0.22087797923785968,0.21743063932448733,0.38909875876956285,0.3360365398956003,0.7648877113298006,11404,2595,1132,721
0.5,5,0.5,0.6653771083101419,0.22087797923785968,0.25147258722247395,0.29951430113329736,0.28849152718577814,0.8139036083774918,12347,1652,1298,555
