porcentaje_priorizado,reingresos_capturados,cobertura,precision,lift
10.0,504,0.22836429542365203,0.2542885973763875,2.28375817335631
20.0,820,0.37154508382419577,0.20686175580222,1.8578191489604905
30.0,1091,0.4943362029904848,0.18348469559367642,1.6478704809072318
40.0,1321,0.5985500679655641,0.16662462159434915,1.4964506681565903
50.0,1539,0.6973266878115089,0.15529767911200806,1.3947237415854608
