modelo,conjunto,roc_auc,pr_auc,precision,recall,f1,accuracy,verdaderos_negativos,falsos_positivos,falsos_negativos,verdaderos_positivos
V1_base,validacion,0.6637184052966237,0.22072298014945615,0.43529411764705883,0.019967620075553156,0.038183694530443756,0.8824123139036084,13951,48,1816,37
V2_balanceada,validacion,0.6655335453573181,0.22078203179374062,0.18751158050768946,0.5461413923367512,0.2791724137931034,0.6703255109765329,9614,4385,841,1012
V3_balanceada_C_0.5,validacion,0.6658078691689757,0.2208117975374402,0.18694362017804153,0.5439827307069617,0.2782608695652174,0.6701362604087813,9615,4384,845,1008
