C,l1_ratio,peso,roc_auc,pr_auc,precision,recall,f2,accuracy,tp,fn,fp,tn
0.05,0.0,3,0.6650759535017284,0.21813319551484395,0.3157894736842105,0.12628170534268754,0.14350545811357782,0.8658844309866263,234,1619,507,13492
0.05,0.0,5,0.6655875543033738,0.2183853562456025,0.2384,0.32164058283864005,0.3006456820016142,0.8005929851122887,596,1257,1904,12095
0.05,0.0,7,0.6657860882592531,0.21835530494240268,0.19577735124760076,0.4954128440366973,0.3793074952483266,0.7031289427201615,918,935,3771,10228
0.05,0.25,3,0.6649768407249196,0.21789764476110454,0.3246930422919509,0.12844036697247707,0.14610190300798034,0.8668937673479687,238,1615,495,13504
0.05,0.25,5,0.6655611473597276,0.21834765445532503,0.23888439773645917,0.3189422558014031,0.2989075460246814,0.8016023214736311,591,1262,1883,12116
0.05,0.25,7,0.665794954824273,0.21832344338124487,0.19510117145899894,0.49433351322180247,0.37829354918642105,0.7024981074943225,916,937,3779,10220
0.05,0.5,3,0.6645884080764847,0.2176913255373078,0.3232876712328767,0.1273610361575823,0.14492753623188406,0.8668306838253849,236,1617,494,13505
0.05,0.5,5,0.6653016654069077,0.21800507556341497,0.2389987888574889,0.3194819212088505,0.29932247952270197,0.8015392379510472,592,1261,1885,12114
0.05,0.5,7,0.6656089497102696,0.2182381658140296,0.19670729099850331,0.496492174851592,0.38051120853668624,0.704138279081504,920,933,3757,10242
0.05,0.75,3,0.664127655097714,0.21708795018155116,0.3223593964334705,0.12682137075013492,0.14433116324775827,0.8667676003028009,235,1618,494,13505
0.05,0.75,5,0.6651532853688146,0.21789955053675186,0.2389987888574889,0.3194819212088505,0.29932247952270197,0.8015392379510472,592,1261,1885,12114
0.05,0.75,7,0.6654120348662635,0.2180257301449316,0.19536281665951052,0.4910955207771182,0.37696768848384427,0.7040751955589201,910,943,3748,10251
0.05,1.0,3,0.6636056842700235,0.2165269956080239,0.32409972299168976,0.12628170534268754,0.14384066879763954,0.8670830179157204,234,1619,488,13511
0.05,1.0,5,0.664979693445839,0.2176609360403922,0.23954526999593992,0.31840259039395574,0.29873417721518986,0.8021700731768862,590,1263,1873,12126
0.05,1.0,7,0.6654131142741788,0.21775397526442963,0.19607843137254902,0.4910955207771182,0.37749937774827846,0.7051476154428463,910,943,3731,10268
0.1,0.0,3,0.6654283030855608,0.2189438456561787,0.31341301460823373,0.1273610361575823,0.14451928965094918,0.8653797628059551,236,1617,517,13482
0.1,0.0,5,0.6658225568266826,0.21895736816644248,0.23934687375547592,0.32433890987587694,0.3028318048977124,0.8005299015897047,601,1252,1910,12089
0.1,0.0,7,0.665964576068131,0.21890469845924893,0.19594450373532551,0.4954128440366973,0.3794329172522113,0.7033812768104971,918,935,3767,10232
0.1,0.25,3,0.6654554039342954,0.2188324650595842,0.3156498673740053,0.12844036697247707,0.14572618172912075,0.8655690133737068,238,1615,516,13483
0.1,0.25,5,0.6659328877357557,0.21895394569185767,0.23857257417802727,0.3211009174311927,0.300323036543509,0.8008453192026243,595,1258,1899,12100
0.1,0.25,7,0.6661161557796877,0.21891827680249976,0.19607424791977812,0.49595250944414465,0.3797834531779486,0.7033812768104971,919,934,3768,10231
0.1,0.5,3,0.6653932223283083,0.2187505359398696,0.3156498673740053,0.12844036697247707,0.14572618172912075,0.8655690133737068,238,1615,516,13483
0.1,0.5,5,0.6658941061513645,0.21892068016192306,0.2375601926163724,0.3194819212088505,0.2988691437802908,0.8005929851122887,592,1261,1900,12099
0.1,0.5,7,0.6660806509693256,0.21891723048907274,0.19542930371636053,0.4937938478143551,0.3782867537621961,0.7031920262427453,915,938,3767,10232
0.1,0.75,3,0.6650850128181617,0.21841966094094684,0.3181208053691275,0.1279007015650297,0.14527399779330635,0.8660105980317941,237,1616,508,13491
0.1,0.75,5,0.6658029347327907,0.21886978016782543,0.23732904263877716,0.31840259039395574,0.2980400080824409,0.8007191521574565,590,1263,1896,12103
0.1,0.75,7,0.6660688160325381,0.21889595786779037,0.1959906163361058,0.49595250944414465,0.37972068424097183,0.7032551097653293,919,934,3770,10229
0.1,1.0,3,0.664936979732613,0.2184989761453391,0.32075471698113206,0.12844036697247707,0.14594064262938436,0.8663260156447136,238,1615,504,13495
